Numéro;État courant;Motif de rejet;Commentaire de l'état;Type de demande de paiement;Type facture;Type de facture de travaux;Cadre de facturation;Date Fournisseur;Date de création;Date de dépôt;Date état courant;Date échéance paiement;Valideur 1 (date de validation);Valideur 2 (date de validation);Fournisseur (type d'identifiant);Fournisseur (identifiant);Fournisseur (désignation);Fournisseur (TVA intracommunautaire);Fournisseur (code service);Fournisseur (service);Destinataire (type d'identifiant);Destinataire (identifiant);Destinataire (désignation);Destinataire (TVA intracommunautaire);Destinataire (code service);Destinataire (service);Mode de dépôt;Mt HT;Mt TTC;Montant à payer;Montant TTC avant remise;Montant remise globale TTC;Motif;Montant TVA;Devise de la facture;Type de TVA;Motif d'éxoneration;Certificat de dépôt n°;Identifiant numérisation;Numéro de la facture d'origine;Numéro DP mandat;Numéro du bon de commande;Numéro de marché;Coordonnées bancaires;BIC ou Swift;Mode de règlement;Document précédent (numéro);Document précédent (type de pièce);Document suivant (numéro);Document suivant (type de pièce);Dossier de facturation;Commentaire;Numéro de lot transmis;Date modification;Telechargée;Emetteur (type d'identifiant);Emetteur (identifiant);Emetteur (désignation);Affactureur (type d'identifiant);Affactureur (identifiant);Affactureur (désignation);Maîtrise d’oeuvre (type d'identifiant);Maîtrise d’oeuvre (identifiant);Maîtrise d’oeuvre (désignation);Maîtrise d’oeuvre (TVA intracommunautaire);Maîtrise d'oeuvre (code service);Maîtrise d’oeuvre (service);Maîtrise d’ouvrage (type d'identifiant);Maîtrise d’ouvrage (identifiant);Maîtrise d’ouvrage (désignation);Maîtrise d’ouvrage (TVA intracommunautaire);Maîtrise d’ouvrage (code service);Maîtrise d’ouvrage (service);Valideur 1 (type d'identifiant);Valideur 1 (identifiant);Valideur 1 (désignation);Valideur 2 (type d'identifiant);Valideur 2 (identifiant);Valideur 2 (désignation);
"20-3855";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"896.84";"1076.21";"896.84";"1076.21";"";"";"179.37";"Euro européen";"TVA sur les encaissements";"";"wWf788152Lk/G/mDjD8sdseFLeOgbAQ5zbv5s/Y7HHA=";"";"";"";"CBDC 0019478";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20-3856";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"9060";"10872";"9060";"10872";"";"";"1812";"Euro européen";"TVA sur les encaissements";"";"XMAXxDeg2u8LblQfHM8KJDP5ey0u9LWoniP/md91PZ0=";"";"";"";"CBDC 0019481";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20-3857";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"3810.74";"4572.89";"3810.74";"4572.89";"";"";"762.15";"Euro européen";"TVA sur les encaissements";"";"EJUQNySRLyuM2p7eOD4HK8eSkfKXPdkXTbfy9NymzGU=";"";"";"";"CBDC 0019455";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20-3858";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"3598.47";"4318.16";"3598.47";"4318.16";"";"";"719.69";"Euro européen";"TVA sur les encaissements";"";"Hfpd+t0IhsHp6pWUyGGHNgg+VK44MidO7/xGCcL6Kuw=";"";"";"";"CBDC 0019435";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20120812581F699";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"08/12/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"43911290500039";"ECEDI";"";"DAF";"DAF";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"8050";"9660";"9660";"9660";"";"";"1610";"Euro européen";"TVA sur les encaissements";"";"O38kpKWZYxlKOMyjeijQDXbyG4PgflJeXWU1+mr+/7U=";"";"";"";"CBDC 0020166";"";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"43911290500039";"ECEDI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2012003";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"11/12/2020";"14/12/2020";"15/12/2020";"15/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"33087394400079";"EUROPEENNE DE PROMOTION SA";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"104617";"125540.4";"125540.4";"125540.4";"";"";"20923.4";"Euro européen";"TVA sur les encaissements";"";"XnWK45WfF3PBDmXOLt4MB/qeWztltUaEM4/nLtsrNw8=";"";"";"";"BDC0018863";"2019-PN046L02";"";"";"Virement";"";"";"";"";"";"";"";"15/12/2020";"Oui";"Structure avec N° SIRET";"33087394400079";"EUROPEENNE DE PROMOTION SA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"01FAC-120120347";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"14/12/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"78593659200084";"GEOFIT EXPERT";"FR39785936592";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"38304.71";"45965.65";"45965.65";"45965.65";"";"";"7660.94";"Euro européen";"TVA sur les encaissements";"";"s/hgxiYQCpCCGdsSKicvRZS+mZHAZ0GwdPVljt8QUEQ=";"";"";"";"2015PN025AL04 - CBDC0019421";"2015PN025AL04";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"78593659200084";"GEOFIT EXPERT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20-3859";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"9043.24";"10851.89";"9043.24";"10851.89";"";"";"1808.65";"Euro européen";"TVA sur les encaissements";"";"mAUWsH5TiEvUGp0K1l9e+4waHtmr8K+DW1UT/w5B5ZQ=";"";"";"";"CBDC 0019415";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20-3860";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"2022";"2426.4";"2022";"2426.4";"";"";"404.4";"Euro européen";"TVA sur les encaissements";"";"bTPUCs9HvQNk6gK4KkmLrSZSNX4+Oxxr0hN8auKpt+0=";"";"";"";"CBDC 0020310";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20-3861";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"30/11/2020";"14/12/2020";"14/12/2020";"14/12/2020";"13/01/2021";"";"";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"FR26444130348";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"250";"300";"250";"300";"";"";"50";"Euro européen";"TVA sur les encaissements";"";"9NWfegD27C17LSOE8ANADfBzcWsJpQF0LFKO233XmPA=";"";"";"";"CBDC 0020314";"2019PN022";"";"";"Virement";"";"";"";"";"";"";"";"14/12/2020";"Oui";"Structure avec N° SIRET";"44413034800048";"METROPOLE ATELIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
